variable;importancia
lineas_compra;0.14273000936943514
frecuencia_boletas;0.1324497117763817
recencia_dias;0.1069559203966903
monto_total;0.10294813598794658
cantidad_total;0.09104367083693646
margen_total;0.08800703690812532
categorias_distintas;0.0636293647207306
vida_cliente_dias;0.053526125756915
ticket_promedio;0.052254194113985394
antiguedad_programa_dias;0.04799556698597627
margen_pct;0.04775176226563262
online_rate;0.02567197206209363
promo_rate;0.021062894107275968
segmento_programa_Bronce;0.010710384648636852
sexo_M;0.00688151293821105
segmento_programa_Plata;0.0047740262046307175
segmento_programa_Oro;0.0016077109203964167
